"criterion_id","source_item_number","name","category","measures","classification_tags","phase5a_granularity","natural_granularity","likely_authoritative_publisher_families","likely_dataset_or_indicator_families","evidence_refs","cross_country_comparability_estimate","coverage_90_percent_plausible_estimate","expected_coverage_band_estimate","likely_freshness","licensing_uncertainty","finding_status","deep_research_priority","deep_research_rank","recommended_batch","downgrade_rationale","reason_codes","fact_estimate_boundary"
"C66","66","Extreme-weather risk","Climate, environment and location","Exposure to heatwaves, floods, storms, wildfire, drought and severe cold.","IC | SC | DO","NATIONAL_WITH_CITY_CAVEAT","national","EU/JRC INFORM | World Bank CCKP | WMO | UNDRR","INFORM hazard/exposure components | CCKP extreme indices | hazard-specific global datasets","E12 | E14","C3","YES","HIGH","EVENT_RISK_MODEL: current 2026/model edition","MEDIUM","SCREENED_PROMISING","HIGH","15","BATCH_1","Hazard components have different scales and city exposure; avoid double counting vulnerability/coping capacity.","SCO_COMPOSITE_WEIGHTS_ARBITRARY | GRA_CITY_LEVEL_REQUIRED","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C67","67","Long-term climate-change exposure","Climate, environment and location","Future physical exposure to sea-level rise, heat/water stress and ecosystem pressures.","IC | SC","NATIONAL_WITH_CITY_CAVEAT","national","World Bank CCKP | IPCC/WCRP CMIP | NASA/ESA | WRI as supplement","CCKP CMIP6 scenarios | sea-level projections | water-stress and heat-exposure datasets","E12","C3","YES","HIGH","EVENT_RISK_MODEL: current scenario/model edition","LOW","SCREENED_PROMISING","MEDIUM","34",,"Results depend on scenario, horizon, model ensemble and population exposure assumptions.","CMP_MODEL_ASSUMPTIONS_OPAQUE | SCO_NO_DEFENSIBLE_THRESHOLDS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C68","68","Natural-disaster risk","Climate, environment and location","Expected loss/exposure from geophysical and weather-related natural hazards.","IC | SC | DO","NATIONAL_WITH_CITY_CAVEAT","national","EU/JRC INFORM | UNDRR | World Bank | GEM/USGS","INFORM natural hazard/exposure | Global Assessment Report datasets | global earthquake/cyclone/flood layers","E14","C3","YES","HIGH","EVENT_RISK_MODEL: 2026/current edition","MEDIUM","SCREENED_PROMISING","MEDIUM","35",,"Overlaps extreme-weather risk; geophysical hazards should be separable and composite weights tested.","RED_CANDIDATE_OVERLAP | SCO_COMPOSITE_WEIGHTS_ARBITRARY","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C69","69","Environmental quality beyond PM2.5","Climate, environment and location","Waste, water pollution, green space, noise, biodiversity and other environmental conditions.","IC | SC | DO | CR | LF","CITY_OR_REGIONAL","city/regional","UNEP | Yale/Columbia EPI consortium | WHO | city agencies","SDG environment indicators | EPI components | city green-space/noise/waste data","","C2","NO","MEDIUM","STANDARD_SOCIOECONOMIC: mixed 0–5y","HIGH","DEFERRED_CITY_LAYER","LOW",,,"The construct is too broad, city-sensitive and dependent on composite weighting; EPI licensing must be checked.","SEM_QUESTION_TOO_BROAD | GRA_CITY_LEVEL_REQUIRED | LIC_AMBIGUOUS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C70","70","Climate resilience and adaptation readiness","Climate, environment and location","Institutional and infrastructure capacity to adapt to and recover from climate shocks.","IC | SC","NATIONAL_WITH_CITY_CAVEAT","national","EU/JRC INFORM | World Bank | UNDRR | ND-GAIN consortium","INFORM lack-of-coping-capacity | ND-GAIN readiness | adaptation policy indicators","E14","C3","YES","HIGH","EVENT_RISK_MODEL/SLOW_STRUCTURAL: annual edition","MEDIUM","SCREENED_PROMISING","MEDIUM","36",,"Readiness indexes are composite/modelled and overlap governance, infrastructure and disaster risk.","RED_SHARED_COMPONENTS | SCO_COMPOSITE_WEIGHTS_ARBITRARY","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C71","71","Work-life balance","Family, lifestyle and long-term liveability","Working hours, paid leave, parental leave and commute burden.","IC | SC | DO | CR | LF","NATIONAL_WITH_CITY_CAVEAT","national","ILO | OECD | national labour authorities","ILOSTAT actual hours | ILO NATLEX leave law | OECD work-life indicators | commute surveys","E02 | E15","C3","UNCERTAIN","MEDIUM","STANDARD/CURRENT_POLICY: 0–3y plus current law","HIGH","SCREENED_POSSIBLE","MEDIUM","37",,"Leave law is not take-up; commute is city-level and survey coverage is weak, so start with hours/leave components.","CMP_LEGAL_NOT_LIVED_OUTCOME | GRA_CITY_LEVEL_REQUIRED | COV_BELOW_90_PERCENT","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C72","72","Family friendliness","Family, lifestyle and long-term liveability","Family-support environment spanning leave, childcare, schools, safety and recreation.","IC | SC | DO | CR | LF","NATIONAL_WITH_CITY_CAVEAT","profile-derived","ILO | UNICEF | World Bank WBL | UNESCO | WHO","Parental-leave law | childcare support | school/health/safety component criteria","E08 | E01","C2","N/A","N/A","Derived from component vintages","HIGH","SCREENED_POSSIBLE","MEDIUM","38",,"This is best as a transparent family profile assembled from approved components, not a new opaque dataset.","PRF_PROFILE_ONLY | RED_SHARED_COMPONENTS | SCO_COMPOSITE_WEIGHTS_ARBITRARY","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C73","73","Quality of urban life","Family, lifestyle and long-term liveability","Urban public space, walkability, cleanliness, congestion, amenities and design.","IC | SC | DO | CR | LF","CITY_OR_REGIONAL","city/regional","UN-Habitat | city governments | satellite/open mapping providers","SDG 11 urban indicators | city prosperity | OpenStreetMap-derived amenities | congestion datasets","","C2","NO","LOW","STANDARD/FAST_MOVING mixed","HIGH","DEFERRED_CITY_LAYER","LOW",,,"Requires a city universe, geospatial methodology and multiple sources with uneven licensing.","GRA_CITY_LEVEL_REQUIRED | COV_BELOW_90_PERCENT | LIC_AMBIGUOUS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C74","74","Recreation, culture, and leisure","Family, lifestyle and long-term liveability","Access to sports, arts, libraries, dining, nature and community activity.","IC | SC | CR | PF | LF","CITY_OR_REGIONAL","city/regional","UNESCO | city cultural agencies | open mapping | commercial POI providers","Cultural participation statistics | protected-area access | POI/amenity inventories","","C1","NO","LOW","STANDARD/FAST_MOVING mixed","HIGH","DEFERRED_CITY_LAYER","LOW",,,"Amenity value is preference-based, highly local and usually reliant on commercial or volunteered POI data.","GRA_CITY_LEVEL_REQUIRED | PRF_PREFERENCE_MATCH_REQUIRED | LIC_AMBIGUOUS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C75","75","Religious freedom and freedom of expression","Family, lifestyle and long-term liveability","Formal and practical religious freedom, expression and civic participation.","IC | SC","NATIONAL","national","UN human-rights mechanisms | OHCHR | national law | V-Dem/Freedom House for research","UN treaty/UPR evidence | official constitutional law | V-Dem freedom indicators | WGI Voice","E07","C3","YES","HIGH","STATIC_OR_LEGAL_ASOF/SLOW_STRUCTURAL","MEDIUM","SCREENED_POSSIBLE","LOW",,,"Legal guarantees and lived freedom diverge; prominent indices mix expert judgments and may have reuse restrictions.","CMP_LEGAL_NOT_LIVED_OUTCOME | LIC_AMBIGUOUS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C76","76","Social protection and welfare support","Family, lifestyle and long-term liveability","Eligibility and adequacy of unemployment, pension, disability and family benefits.","IC | SC","NATIONAL","profile-derived","ILO | World Bank | OECD | national social-security authorities","ILO World Social Protection Database | NATLEX | ASPIRE | OECD SOCX","E15","C3","UNCERTAIN","MEDIUM","STANDARD/CURRENT_POLICY mixed","HIGH","SCREENED_POSSIBLE","LOW",,,"Benefit access and value depend on contributions, residence, immigration status and household scenario.","PRF_PROFILE_ONLY | GRA_HOUSEHOLD_SCENARIO_REQUIRED | COV_BELOW_90_PERCENT","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C77","77","Retirement suitability","Family, lifestyle and long-term liveability","Combined suitability for older migrants: health, cost, pensions, residency, safety and lifestyle.","IC | SC | DO | PF | LF","NATIONAL_WITH_CITY_CAVEAT","profile-derived","Derived from approved component criteria | national retirement visa authorities","Profile composite plus official retirement-residence rules","","C1","N/A","N/A","Derived/current policy","HIGH","DEFERRED_PROFILE_LAYER","NO FURTHER WORK",,,"Overlaps C84 and combines incompatible profile inputs; retain only one retirement profile after component approval.","PRF_PROFILE_ONLY | RED_CANDIDATE_OVERLAP | RED_SHARED_COMPONENTS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C78","78","Overall life satisfaction","Family, lifestyle and long-term liveability","Average self-reported life evaluation of residents.","IC | SC | DO | CR | PF | LF","NATIONAL_WITH_CITY_CAVEAT","national","Gallup | World Happiness Report | OECD as supplement","Gallup World Poll Cantril Ladder | WHR 2026 three-year averages","E17","C4","UNCERTAIN","MEDIUM","SLOW_STRUCTURAL: 2023–2025 average","HIGH","SCREENED_LOW_FEASIBILITY","LOW",,,"The measure is comparable but misses some small states, is an outcome rather than an actionable lever, and Gallup reuse terms need audit.","COV_BELOW_90_PERCENT | LIC_AMBIGUOUS | SEM_NOT_ACTIONABLE","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C79","79","Suitability for a software professional","Profile-dependent composites","Profile score for a software professional using jobs, pay, tax, English, visas and ecosystem.","PC | DO","PROFILE_ONLY","profile-derived","Derived from approved component criteria","Profile calculation only","","C1","N/A","N/A","Derived from components","N/A","DEFERRED_PROFILE_LAYER","NO FURTHER WORK",,,"Explicit profile composite; no independent source search is warranted.","PRF_PROFILE_ONLY | RED_SHARED_COMPONENTS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C80","80","Suitability for a medical professional","Profile-dependent composites","Profile score for a medical professional using demand, licensing, language, pay and visas.","PC | DO","PROFILE_ONLY","profile-derived","Derived from approved component criteria","Profile calculation only","","C1","N/A","N/A","Derived from components","N/A","DEFERRED_PROFILE_LAYER","NO FURTHER WORK",,,"Explicit profession/profile composite; research its components instead.","PRF_PROFILE_ONLY | GRA_PROFESSION_SPECIFIC | RED_SHARED_COMPONENTS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C81","81","Suitability for a student","Profile-dependent composites","Student profile score using education, tuition, access, safety and post-study routes.","PC | DO","PROFILE_ONLY","profile-derived","Derived from approved component criteria","Profile calculation only","","C1","N/A","N/A","Derived from components","N/A","DEFERRED_PROFILE_LAYER","NO FURTHER WORK",,,"Explicit profile composite; no independent criterion dataset exists.","PRF_PROFILE_ONLY | RED_SHARED_COMPONENTS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C82","82","Suitability for a family with school-age children","Profile-dependent composites","Family-with-children profile score using schools, safety, health, housing and migration rules.","PC | DO","PROFILE_ONLY","profile-derived","Derived from approved component criteria","Profile calculation only","","C1","N/A","N/A","Derived from components","N/A","DEFERRED_PROFILE_LAYER","NO FURTHER WORK",,,"Explicit household profile; component evidence and weights must remain visible.","PRF_PROFILE_ONLY | GRA_HOUSEHOLD_SCENARIO_REQUIRED | RED_SHARED_COMPONENTS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C83","83","Suitability for an entrepreneur","Profile-dependent composites","Entrepreneur profile score using formation, finance, tax, immigration, markets and digital government.","PC | DO","PROFILE_ONLY","profile-derived","Derived from approved component criteria","Profile calculation only","","C1","N/A","N/A","Derived from components","N/A","DEFERRED_PROFILE_LAYER","NO FURTHER WORK",,,"Explicit profile composite; research component criteria rather than seek a single index.","PRF_PROFILE_ONLY | RED_SHARED_COMPONENTS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C84","84","Suitability for retirement","Profile-dependent composites","Retiree profile score using health, affordability, climate, residency, safety and life quality.","PC | DO | PF","PROFILE_ONLY","profile-derived","Derived from approved component criteria","Profile calculation only","","C1","N/A","N/A","Derived from components","N/A","DEFERRED_PROFILE_LAYER","NO FURTHER WORK",,,"Explicit preference/profile composite and duplicate of C77's intended decision.","PRF_PROFILE_ONLY | RED_CANDIDATE_OVERLAP | RED_SHARED_COMPONENTS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
